Tarifa,Tipo Traslado,Origen,Destino,Tipo Vehículo,Precio,Notas
Económico,Local,,Finca La Devocion,VAN,1765.5,
Económico,Local,,La Gruta,SEDAN,428,
Económico,Local,,La Gruta,VAN,1765.5,
Económico,Local,,La Noria,SEDAN,535,
Económico,Local,,La Noria,VAN,1872.5,
Económico,Local,,La Zandunga,SEDAN,642,
Económico,Local,,La Zandunga,VAN,2140,
Económico,Local,,Los Senderos,SEDAN,321,
Económico,Local,,Los Senderos,VAN,1605,
Económico,Local,,Mayan Baths,SEDAN,321,
Económico,Local,,Mayan Baths,VAN,1605,
Económico,Local,,Opuntia,SEDAN,1070,
Económico,Local,,Opuntia,VAN,2675,
Económico,Local,,Otomí,SEDAN,428,
Económico,Local,,Otomí,VAN,1765.5,
Económico,Local,,Rancho La Trinidad,SEDAN,428,
Económico,Local,,Rancho La Trinidad,VAN,1765.5,
Económico,Local,,Rancho Labradores,SEDAN,428,
Económico,Local,,Rancho Labradores,VAN,1765.5,
Económico,Local,,Rancho Las Puertas,SEDAN,428,
Económico,Local,,Rancho Las Puertas,VAN,1765.5,
Económico,Local,,Rancho Las Sabinas,SEDAN,428,
Económico,Local,,Rancho Las Sabinas,VAN,1765.5,
Económico,Local,,Rancho Luna Escondida,SEDAN,428,
Económico,Local,,Rancho Luna Escondida,VAN,1765.5,
Económico,Local,,Rancho San Luis Gonzaga,SEDAN,428,
Económico,Local,,Rancho San Luis Gonzaga,VAN,1765.5,
Económico,Local,,Rancho Vía Orgánica,SEDAN,642,
Económico,Local,,Rancho Vía Orgánica,VAN,2140,
Económico,Local,,Santuario de Atotonilco,SEDAN,428,
Económico,Local,,Santuario de Atotonilco,VAN,1765.5,
Económico,Local,,Viñedo Cuna de Tierra,SEDAN,1070,
Económico,Local,,Viñedo Cuna de Tierra,VAN,2675,
Económico,Local,,Viñedo Dos Búhos,SEDAN,428,
Económico,Local,,Viñedo Dos Búhos,VAN,1765.5,
Económico,Local,,Viñedo La Santísima Trinidad,SEDAN,856,
Económico,Local,,Viñedo La Santísima Trinidad,VAN,2354,
Económico,Local,,Viñedo Los Remedios,SEDAN,642,
Económico,Local,,Viñedo Los Remedios,VAN,2140,
Económico,Local,,Viñedo San Lucas,SEDAN,428,
Económico,Local,,Viñedo San Lucas,VAN,1765.5,
Económico,Local,,Viñedo Toyan,SEDAN,428,
Económico,Local,,Viñedo Toyan,VAN,1765.5,
Económico,Local,,Viñedo Tres Raíces,SEDAN,856,
Económico,Local,,Viñedo Tres Raíces,VAN,2354,
Económico,Local,,Viñedos Patria,SEDAN,321,
Económico,Local,,Viñedos Patria,VAN,1605,
Económico,Local,,Viñedos San Miguel,SEDAN,642,
Económico,Local,,Viñedos San Miguel,VAN,2140,
Económico,Local,,Zirándaro,SEDAN,374.5,
Económico,Local,,Zirándaro,VAN,1658.5,
Económico,Local,,Zona Centro,SEDAN,160.5,
Económico,Local,,Zona Centro,VAN,1284,
Premium,Aeropuerto,(AGU) Aeropuerto Internacional de Aguascalientes,San Miguel de Allende,SEDAN,6955,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(AGU) Aeropuerto Internacional de Aguascalientes,SEDAN,6955,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(AGU) Aeropuerto Internacional de Aguascalientes,San Miguel de Allende,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(AGU) Aeropuerto Internacional de Aguascalientes,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(AGU) Aeropuerto Internacional de Aguascalientes,San Miguel de Allende,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(AGU) Aeropuerto Internacional de Aguascalientes,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(AIFA) Aeropuerto Internacional Felipe Angeles,San Miguel de Allende,SEDAN,6955,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(AIFA) Aeropuerto Internacional Felipe Angeles,SEDAN,6955,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(AIFA) Aeropuerto Internacional Felipe Angeles,San Miguel de Allende,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(AIFA) Aeropuerto Internacional Felipe Angeles,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(AIFA) Aeropuerto Internacional Felipe Angeles,San Miguel de Allende,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(AIFA) Aeropuerto Internacional Felipe Angeles,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(BJX) Aeropuerto Internacional de Leon,San Miguel de Allende,SEDAN,2461,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(BJX) Aeropuerto Internacional de Leon,SEDAN,2461,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(BJX) Aeropuerto Internacional de Leon,San Miguel de Allende,SUBURBAN,3424,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(BJX) Aeropuerto Internacional de Leon,SUBURBAN,3424,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(BJX) Aeropuerto Internacional de Leon,San Miguel de Allende,SPRINTER,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(BJX) Aeropuerto Internacional de Leon,SPRINTER,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(GDL) Aeropuerto Internacional de Guadalajara,San Miguel de Allende,SEDAN,9630,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(GDL) Aeropuerto Internacional de Guadalajara,SEDAN,9630,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(GDL) Aeropuerto Internacional de Guadalajara,San Miguel de Allende,SUBURBAN,12037.5,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(GDL) Aeropuerto Internacional de Guadalajara,SUBURBAN,12037.5,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(GDL) Aeropuerto Internacional de Guadalajara,San Miguel de Allende,SPRINTER,21750,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(GDL) Aeropuerto Internacional de Guadalajara,SPRINTER,21750,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(MEX) Aeropuerto Internacional Benito Juarez,San Miguel de Allende,SEDAN,6420,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(MEX) Aeropuerto Internacional Benito Juarez,SEDAN,6420,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(MEX) Aeropuerto Internacional Benito Juarez,San Miguel de Allende,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(MEX) Aeropuerto Internacional Benito Juarez,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(MEX) Aeropuerto Internacional Benito Juarez,San Miguel de Allende,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(MEX) Aeropuerto Internacional Benito Juarez,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(MLM) Aeropuerto Internacional de Morelia,San Miguel de Allende,SEDAN,6420,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(MLM) Aeropuerto Internacional de Morelia,SEDAN,6420,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(MLM) Aeropuerto Internacional de Morelia,San Miguel de Allende,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(MLM) Aeropuerto Internacional de Morelia,SUBURBAN,8025,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,(MLM) Aeropuerto Internacional de Morelia,San Miguel de Allende,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Premium,Aeropuerto,San Miguel de Allende,(MLM) Aeropuerto Internacional de Morelia,SPRINTER,15515,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
